1.000000000000000000e+00,9.270000000000000462e-01,9.240000000000000435e-01
2.000000000000000000e+00,9.270000000000000462e-01,9.270000000000000462e-01
3.000000000000000000e+00,9.280000000000000471e-01,9.240000000000000435e-01
4.000000000000000000e+00,9.270000000000000462e-01,9.170000000000000373e-01
5.000000000000000000e+00,9.270000000000000462e-01,9.170000000000000373e-01
6.000000000000000000e+00,9.230000000000000426e-01,9.140000000000000346e-01
7.000000000000000000e+00,9.210000000000000409e-01,9.160000000000000364e-01
8.000000000000000000e+00,9.180000000000000382e-01,9.120000000000000329e-01
9.000000000000000000e+00,9.170000000000000373e-01,9.120000000000000329e-01
1.000000000000000000e+01,9.180000000000000382e-01,9.060000000000000275e-01
1.014447551454827238e-91,4.884758626128504281e+252,6.524680567833601622e+265
2.476451189677677631e+155,4.952403238373428266e+223,1.099978349732305632e+155
1.219060991269549054e-152,4.766600471656725365e+180,1.774594898257351006e+248
6.967343868880087912e+252,2.660648107497806144e-260,7.489601440821525840e+247
4.475938159536143274e-91,3.741686563372310608e+233,6.017379073001492335e+175
3.626038893878935278e-43,1.965675913689954421e-62,4.832459600814756128e+276
1.942155090354680696e-109,5.285955946025151922e-85,2.649374333954857784e+180
2.584009462891982252e+161,1.050171588015683861e-153,4.832459600814716767e+276
1.051323874581855127e-153,9.422189412010836628e-96,7.054605248365602427e-308
