,Iteration Number,Fitness
0,0,18481490.96803581
1,1,18481490.96803581
2,2,18481490.96803581
3,3,18481490.96803581
4,4,18481490.96803581
5,5,18481490.96803581
6,6,18481490.96803581
7,7,18481490.96803581
8,8,18481490.96803581
9,9,18481490.96803581
10,10,18481490.96803581
11,11,18481490.96803581
12,12,18481490.96803581
13,13,18481490.96803581
14,14,18481490.96803581
15,15,18481490.96803581
16,16,18481490.96803581
17,17,18481490.96803581
18,18,18481490.96803581
19,19,18481490.96803581
20,20,18481490.96803581
21,21,18481490.96803581
22,22,18481490.96803581
23,23,18481490.96803581
24,24,18481490.96803581
25,25,18481490.96803581
26,26,18481490.96803581
27,27,18481490.96803581
28,28,18481490.96803581
29,29,18481490.96803581
30,30,18481490.96803581
31,31,18475762.756619737
32,32,18475762.756619737
33,33,18475762.756619737
34,34,18475762.756619737
35,35,18475762.756619737
36,36,18475762.756619737
37,37,18475762.756619737
38,38,18475762.756619737
39,39,18475762.756619737
40,40,18475762.756619737
41,41,18475762.756619737
42,42,18475762.756619737
43,43,18475762.756619737
44,44,18475762.756619737
45,45,18475762.756619737
46,46,18475762.756619737
47,47,18475762.756619737
48,48,18475762.756619737
49,49,18475762.756619737
50,50,18475762.756619737
51,51,18288735.185786445
52,52,18288735.185786445
53,53,18288735.185786445
54,54,18288735.185786445
55,55,18288735.185786445
56,56,18288735.185786445
57,57,18288735.185786445
58,58,18288735.185786445
59,59,18288735.185786445
60,60,18288735.185786445
61,61,18288735.185786445
62,62,18288735.185786445
63,63,18288735.185786445
64,64,18288735.185786445
65,65,18288735.185786445
66,66,18288735.185786445
67,67,18288735.185786445
68,68,18288735.185786445
69,69,18288735.185786445
70,70,18288735.185786445
71,71,18288735.185786445
72,72,18288735.185786445
73,73,18288735.185786445
74,74,18288735.185786445
75,75,18288735.185786445
76,76,18288735.185786445
77,77,18288735.185786445
78,78,18288735.185786445
79,79,18288735.185786445
80,80,18288735.185786445
81,81,18288735.185786445
82,82,18288735.185786445
83,83,18288735.185786445
84,84,18288735.185786445
85,85,18288735.185786445
86,86,18288735.185786445
87,87,18288735.185786445
88,88,18288735.185786445
89,89,18288735.185786445
90,90,18288735.185786445
91,91,18288735.185786445
92,92,18288735.185786445
93,93,18288735.185786445
94,94,18288735.185786445
95,95,18288735.185786445
96,96,18288735.185786445
97,97,18288735.185786445
98,98,18288735.185786445
99,99,18288735.185786445
100,100,18288735.185786445
101,101,18288735.185786445
102,102,18288735.185786445
103,103,18288735.185786445
104,104,18288735.185786445
105,105,18288735.185786445
106,106,18288735.185786445
107,107,18288735.185786445
108,108,18288735.185786445
109,109,18288735.185786445
110,110,18288735.185786445
111,111,18288735.185786445
112,112,18288735.185786445
113,113,18288735.185786445
114,114,18288735.185786445
115,115,18288735.185786445
116,116,18288735.185786445
117,117,18288735.185786445
118,118,18288735.185786445
119,119,18288735.185786445
120,120,18288735.185786445
121,121,18288735.185786445
122,122,18288735.185786445
123,123,18288735.185786445
124,124,18288735.185786445
125,125,18288735.185786445
126,126,18288735.185786445
127,127,18288735.185786445
128,128,18236469.118828963
129,129,18236469.118828963
130,130,18236469.118828963
131,131,18236469.118828963
132,132,18236469.118828963
133,133,17882927.280004065
134,134,17882927.280004065
135,135,17882927.280004065
136,136,17882927.280004065
137,137,17882927.280004065
138,138,17882927.280004065
139,139,17882927.280004065
140,140,17882927.280004065
141,141,17882927.280004065
142,142,17882927.280004065
143,143,17882927.280004065
144,144,17882927.280004065
145,145,17882927.280004065
146,146,17882927.280004065
147,147,17882927.280004065
148,148,17882927.280004065
149,149,17882927.280004065
150,150,17882927.280004065
151,151,17882927.280004065
152,152,17882927.280004065
153,153,17882927.280004065
154,154,17882927.280004065
155,155,17882927.280004065
156,156,17882927.280004065
157,157,17882927.280004065
158,158,17882927.280004065
159,159,17882927.280004065
160,160,17882927.280004065
161,161,17882927.280004065
162,162,17882927.280004065
163,163,17882927.280004065
164,164,17882927.280004065
165,165,17882927.280004065
166,166,17882927.280004065
167,167,17882927.280004065
168,168,17882927.280004065
169,169,17882927.280004065
170,170,17882927.280004065
171,171,17882927.280004065
172,172,17882927.280004065
173,173,17882927.280004065
174,174,17882927.280004065
175,175,17882927.280004065
176,176,17882927.280004065
177,177,17882927.280004065
178,178,17882927.280004065
179,179,17882927.280004065
180,180,17882927.280004065
181,181,17882927.280004065
182,182,17882927.280004065
183,183,17882927.280004065
184,184,17882927.280004065
185,185,17882927.280004065
186,186,17882927.280004065
187,187,17882927.280004065
188,188,17882927.280004065
189,189,17882927.280004065
190,190,17882927.280004065
191,191,17882927.280004065
192,192,17882927.280004065
193,193,17882927.280004065
194,194,17882927.280004065
195,195,17882927.280004065
196,196,17882927.280004065
197,197,17882927.280004065
198,198,17882927.280004065
199,199,17882927.280004065
200,200,17882927.280004065
201,201,17882927.280004065
202,202,17882927.280004065
203,203,17882927.280004065
204,204,17882927.280004065
205,205,17882927.280004065
206,206,17882927.280004065
207,207,17882927.280004065
208,208,17882927.280004065
209,209,17882927.280004065
210,210,17882927.280004065
211,211,17882927.280004065
212,212,17882927.280004065
213,213,17882927.280004065
214,214,17882927.280004065
215,215,17882927.280004065
216,216,17882927.280004065
217,217,17882927.280004065
218,218,17882927.280004065
219,219,17882927.280004065
220,220,17882927.280004065
221,221,17882927.280004065
222,222,17882927.280004065
223,223,17882927.280004065
224,224,17882927.280004065
225,225,17882927.280004065
226,226,17882927.280004065
227,227,17882927.280004065
228,228,17882927.280004065
229,229,17882927.280004065
230,230,17882927.280004065
231,231,17882927.280004065
232,232,17882927.280004065
233,233,17882927.280004065
234,234,17882927.280004065
235,235,17882927.280004065
236,236,17882927.280004065
237,237,17882927.280004065
238,238,17882927.280004065
239,239,17882927.280004065
240,240,17882927.280004065
241,241,17882927.280004065
242,242,17882927.280004065
243,243,17882927.280004065
244,244,17882927.280004065
245,245,17882927.280004065
246,246,17882927.280004065
247,247,17882927.280004065
248,248,17882927.280004065
249,249,17882927.280004065
250,250,17882927.280004065
251,251,17882927.280004065
252,252,17882927.280004065
253,253,17882927.280004065
254,254,17882927.280004065
255,255,17882927.280004065
256,256,17882927.280004065
257,257,17882927.280004065
258,258,17882927.280004065
259,259,17882927.280004065
260,260,17882927.280004065
261,261,17882927.280004065
262,262,17882927.280004065
263,263,17882927.280004065
264,264,17882927.280004065
265,265,17882927.280004065
266,266,17882927.280004065
267,267,17882927.280004065
268,268,17882927.280004065
269,269,17882927.280004065
270,270,17882927.280004065
271,271,17882927.280004065
272,272,17882927.280004065
273,273,17882927.280004065
274,274,17882927.280004065
275,275,17882927.280004065
276,276,17882927.280004065
277,277,17882927.280004065
278,278,17882927.280004065
279,279,17882927.280004065
280,280,17882927.280004065
281,281,17882927.280004065
282,282,17882927.280004065
283,283,17882927.280004065
284,284,17882927.280004065
285,285,17882927.280004065
286,286,17882927.280004065
287,287,17882927.280004065
288,288,17882927.280004065
289,289,17882927.280004065
290,290,17882927.280004065
291,291,17882927.280004065
292,292,17882927.280004065
293,293,17882927.280004065
294,294,17882927.280004065
295,295,17882927.280004065
296,296,17882927.280004065
297,297,17882927.280004065
298,298,17882927.280004065
299,299,17882927.280004065
